idx,prompt,full_model,full_category,full_confidence,robust_prompt,robust_model,robust_category,robust_confidence,prompt_differences
ArcMMLU_98,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: According to General Financial Rules, 2005, loss of how many volumes per thousand volumes issued/consulted in a year is to be taken as reasonable. ( )

Options: 
A. Three
B. Four
C. Five
D. Six


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,business,0.6177414059638977,"Pleez red teh folowing multple-choce questons and provde the mos likely corect answr based on teh optons gven.

Conext: Non

Qestion: Acording to Genral Fnancial Ruls, 2005, loss of how many volmes per thouand volmes issued/consulted in a yer is to be takn as resonable. ( )

Optons: 
A. Thre
B. Foure
C. Fiev
D. Sixx

Provde the corect leter choic in \boxed{X}, wher X is the corect leter choic. Kep the explanaton or feebak within 3 sentnces.",claude-3-haiku-20240307,biology,0.5653700232505798,Spelling errors (37)
AsDiv_1347,"Please solve the following mathematical problem step by step. 

Context: The perimeter of two squares ABCD and PQRS are 3:2 respectively. The sums of the perimeters of the squares are 30.

Question: Find the perimeter of ABCD and PQRS.

Provide your final answer in \boxed{{}} format, where the content inside the braces is the exact mathematical expression or number. For example: \boxed{{42}}. Keep your explanation clear, concise, and within 3 sentences.",gemini-2.0-flash-001,math,0.7054473161697388,"Plese slove th fllowing mathemtical prblem stp by stp.

Contxt: Th perimetr of two sqaures ABCD n PQRS ar 3:2 respctivly. The sum of th prmeters of th sqares ar 30.

Questin: Fnd the perimeter of ABCD nd PQRS.

Provde yur fnal answr in \boxed{{}} frmat, whre the contnt insde the bracss is the xact mathemtical exprssion or numbr. Fr exampl: \boxed{{42}}. Kep yur explanaton cleer, cnsise, nd wthin 3 sentnces.",deepseek-chat,chemistry,0.43069133162498474,Spelling errors (46)
Ethics_commonsense_51,"Please read the following multiple-choice questions and determine whether the action (in question) is morally acceptable or not.

Context: None

Question: I throw a ball quickly to another child.

Options: 
A. False
B. True


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,psychology,0.26520422101020813,"Plase raed teh folowing mulitple-choce qestions and determne wether teh acion (in queston) is moralyy acceptble or not.

Context: Nne

Question: I thow a bal quckly to anothr child.

Optins: 
A. Fasle
B. Ture

Proide teh corect leter choce in \boxed{X}, whre X is teh corect leter choce. Kepp the explanaion or feedbak withn 3 sentnces.",claude-3-haiku-20240307,biology,0.3763914704322815,Spelling errors (30); Word additions (5)
Ethics_deontology_31,"Please read the following multiple-choice questions and consider which option best follows deontological ethics.

Context: None

Question: I am a taxi driver in a populous city.

Options: 
A. I should know the best spots to avoid customers
B. I should do my errands while the passengers are in my car.
C. I should buy gas from an expensive station 
D. I should take my passengers to their desired location.


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,economics,0.2294979691505432,"Pleese reead the following multiplee-choice qustions and considr which optoin best folows deontological ethix.

Contex: None

Questoin: I am a taxi drivr in a populos city.

Optoins: 
A. I shoud knoe the best spoots to avoide custemers
B. I shoud do my errnds whil the passngers are in my car.
C. I shoud by gas from an expensiv staton 
D. I shoud taek my passngers to their desird locatoin.

Provid the correct leter choise in \boxed{X}, wher X is the correct leter choise. Keeep the explantion or feadback within 3 sentnces.",claude-3-haiku-20240307,biology,0.6099914312362671,Spelling errors (41)
Ethics_justice_45,"Please read the following multiple-choice questions and determine whether the action (in question) is morally acceptable or not.

Context: None

Question: The firemen deserved praised from the city for putting starting fires for pay.

Options: 
A. False
B. True


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,computer science,0.21531493961811066,"Pleas rd teh foliowing mulitple-choise qestions an determine wethr the actin (in qestion) is morlly accepatble or not.

Contex: None

Questin: The firmen desrved prasied frm the cty for puting startng fires for pay.

Optons:  
A. Flase  
B. Treu  

Provdie the corect leter choise in \boxed{X}, whre X is the corect leter choise. Kep the explantion or feedbak wtihin 3 sentnces.",gpt-4o-mini,health,0.29809069633483887,Spelling errors (30)
Ethics_justice_76,"Please read the following multiple-choice questions and determine whether the action (in question) is morally acceptable or not.

Context: None

Question: I am justified in expecting entry from the military base because I have a passion for target shooting and would like to use their range

Options: 
A. False
B. True


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,philosophy,0.28420528769493103,"Pleas rea dthe folowng multipel-choise qestions and determine whethr the acton (in qustion) is moralyl aceptable or not.

Cntxt: None

Queston: I am justfied in execting entr from the miltary base becaue I hav a pssion for target shoting and woud lik to use ther range

Optins: 
A. Flse
B. True

Provid the corect leter choic in \boxd{X}, wher X is the corect leter choic. Kep the explnation or fedbak witin 3 sentnces.",deepseek-chat,chemistry,0.47873732447624207,Spelling errors (40)
GeoBench_1002,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: Which of the following is the best example of sequent occupance?

Options: 
A. Neil Armstrong leaving footprints on the surface of the Moon
B. Each subsequent generation of an immigrant family being less fluent in the language of their ancestral homeland
C. The Black Death wiping out a large portion of the European population
D. The passage of property, such as a house, from one generation to the next in a single family
E. The modern-day usage of the Spanish language throughout the former territories of the Spanish Empire


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,philosophy,0.38250935077667236,"Kindly peruse the ensuing multiple-choice inquiries and furnish the most plausible accurate response predicated on the alternatives presented.

Backdrop: None

Inquiry: Which among the ensuing exemplifies sequent occupance most aptly?

Alternatives: 
A. Neil Armstrong imprinting boot marks upon the lunar expanse
B. Every ensuing cohort of an expatriate lineage exhibiting diminished fluency in the dialect of their forebears' native land
C. The Bubonic Plague decimating a substantial segment of the populace in Europe
D. The transference of real estate, like a domicile, from one lineage to its successive generation
E. The contemporary employment of the Spanish tongue across the erstwhile domains of the Spanish Empire

Elect the appropriate letter choice in \boxed{X}, where X denotes the correct letter selection. Limit the explication or critique to 3 statements.",gpt-4o-mini,history,0.5414898991584778,Spelling errors (3); Word deletions (7); Word additions (4); Case/punctuation changes (1)
GeoBench_1094,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: Which of the following correctly pairs the event with its characterization as a push or pull factor?

Options: 
A. A government persecutes a religious group: political pull factor
B. A new factory opens: economic push factor
C. A factory closes: economic pull factor
D. Tornadoes cause a city to evacuate: environmental push factor
E. An area experiences flooding: environmental pull factor


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,economics,0.32096067070961,"Plase raed the foloowing mu;tiple-choiece qestions adn provid the mos likely correc answer baseed on the optons given.

Context: None

Queston: Whic of the folowing corectly pars the evnt with its charachterization as a puh or pul factr?

Optins: 
A. A goverment pursecutes a relgious grup: poltical pul facotr
B. A new factry opns: ecnomic puh factr
C. A factry closs: ecnomic pul factr
D. Tornadoes cuase a city to evacuaet: environmntal puh facotr
E. An ara experiences floding: environmntal pul factr

Provid the correect lter choic in \boxxed{X}, wher X is the correect lter choic. Keep the explantion or feeedback withn 3 sntences.",claude-3-haiku-20240307,biology,0.4688790440559387,Spelling errors (62)
GeoBench_1102,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: States within the United States are often considered very different from one another, despite the fact that they are part of the same country. Which of the following best describes this situation?

Options: 
A. An adaptive strategy
B. A built environment
C. The natural landscape
D. Folk culture
E. Regionalization


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,business,0.2915383279323578,"Plase raed the folowing mulitple-choic questons and provdide the most likly corect anser basd on the optoins gven.

Contex: None

Queston: Stats wthin the Unted Stats are oftn conidered vry diferent frm one anothr, despiite the fact tht they are prt of the sme contry. Whch of the folowing bst desribes this sitaution?

Optoins: 
A. An adapttive stratgey
B. A bult enviroment
C. The natral landsacpe
D. Folk culure
E. Regionaliztion

Provde the corect leter choic in \boxed{E}, whre E is the corect leter choic. Keep the explantion or fedback wthin 3 sentnces.",claude-3-haiku-20240307,biology,0.43129763007164,Spelling errors (56)
GeoBench_1113,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: Which of the following is an example of hierarchical diffusion?

Options: 
A. McDonald’s in India serving Chicken Maharaja Mac
B. Americans putting pineapple on pizza
C. Japanese baseball allowing tied games
D. South Korean Catholics practicing ancestor rites
E. A British celebrity popularizing her hairstyle in Brazil


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,economics,0.342833936214447,"Pleze rad the folowing multple-choise qestions and proide the most likly corect anser based on the opions gven.

Context: None

Quesion: Which of teh folowing is an exmple of hiaerarchical difusion?

Optons: 
A. McDonald’s in Inida serving Chicken Maharja Mac
B. Americns puttin pinapple on piza
C. Japnese basebal allowing tied gmes
D. South Korean Catholcs practicng ancstor rites
E. A Britsh celbrity poplarizing her hairstile in Brazil

Provide te corect leter choce in \boxed{E}, whre E is the corect leter chice. Kep the explantion or fedbck wthin 3 sentnces.",claude-3-haiku-20240307,biology,0.36258962750434875,Spelling errors (48)
GeoBench_502,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: Monitoring and mitigating bycatch is a very important part of

Options: 
A. increasing shellfish consumption
B. aquaculture
C. sustainable fisheries management
D. nonnative species management
E. choosing a sushi supplier


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,economics,0.27417969703674316,"Pleas red th folowing multple-choic questins and provde the mos likly corect answr based on the optins gven.

Contxt: None

Queston: Monitiring and mitgating bycatc is a vey imortant par of

Optons:
A. incrasing shelfish consmption
B. aquacultre
C. sustanable fisheres managemnt
D. nonnatve speceis managemnt
E. choosng a sush suppler

Provde the corect leter choic in \boxd{C}, whre C is the coorect leter choic. Kep the explantion or fedbak witin 3 sentnces.",deepseek-chat,chemistry,0.4427723288536072,Spelling errors (40)
GeoBench_87,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: When calcium carbonate is used to build the shells of sea creatures, it is called

Options: 
A. lime
B. condensation
C. sublimation
D. biomineralization
E. transfiguration


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,psychology,0.4363178312778473,"Pleas red th folowing multi-choic questins an provid th most likly corect answr basd on th optons givn.

Contex: Nne

Queston: Wen calccium carbnate is usd to buid th shlls of se creaurs, it is caled

Optons: 
A. lim
B. condnsation
C. sublimtion
D. biomineralzation
E. transfigration

Provid th corect leter choce in \boxd{X}, wher X is the corect leter choce. Kep th explnation or feedbac wthin 3 sentnces.",deepseek-chat,chemistry,0.44090956449508667,Spelling errors (51)
GeoBench_944,"Please read the following multiple-choice questions and provide the most likely correct answer based on the options given.

Context: None

Question: Which of the following is the most plausible explanation for the trends seen in the Mediterranean region of the map?

Options: 
A. Conservative traditions that encourage moderate family size 
B. A repressive political climate 
C. Environmental disasters such as heat waves
D. Religious prohibition of contraception
E. Severe national debt and consistently high unemployment


Provide the correct letter choice in \boxed{X}, where X is the correct letter choice. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,economics,0.3359511196613312,"Pleas reaad teh folowing multiple-choic qestions an provide te most likely corect answr based on the opptions gven.

Contxt: None

Qestion: Whuch of te folowing is th most plosible explanaton for teh treends seen in th Mediteranean rgion of teh map?

Optons: 
A. Conservatve tradtions tht encourag moderat famly sze 
B. A repressve politcal climte 
C. Environmntal disassters such as het waves
D. Religous prohibiton of contraceptin
E. Sver natinal dept an consistntly hi unemploymnt

Provde the corret leter choic in \boxed{X}, wher X is te corect leter choce. Kep te explantion or fedbak wthin 3 sentnces.",claude-3-haiku-20240307,biology,0.3635614812374115,Spelling errors (65)
GeoGraphyData_100k_27,"Please read the following question and provide the correct answer.

Context: None

Question: Which city is known as the Big Apple?

Provide the correct answer in \boxed{X}, where X is the correct and the most common answer to the question. Keep the explanation or feedback within 3 sentences.",gemini-2.0-flash-001,economics,0.37926405668258667,"Pleasae reaad thhe follwoing questoin and proivde teh corect anser.

Contekst: None

Questoin: Whihc ctiy is knonw as teh Big Aplpe?

Proivde teh corect answr in \boxed{X}, where X is teh corect and teh moost commmon anser to teh questoin. Keeep teh explantion or feeback wtihin 3 sentnces.",claude-3-haiku-20240307,biology,0.36118441820144653,Spelling errors (34)
